plot.name,burn.year,previous.burn.year,CNFDB.id,ecoregion,moisture,slope,Dom,age,burn.depth,dom.prop
ZF026-118C,2014,1976,1976ZF-082,shield,mesic-subxeric,0,Pima,36,8.53559363,pima
ZF026-050A,2014,pre-1965,2014ZF-026,shield,subxeric,0,Pima,98,12.95156993,pima
ZF026-050B,2014,pre-1965,2014ZF-026,shield,xeric,0,Pima,65,6.87013214,other
ZF026-050C,2014,pre-1965,2014ZF-026,shield,mesic-subhygric,0,Pima,98,10.14044672,pima
ZF026-054A,2014,pre-1965,2014ZF-026,shield,mesic-subhygric,0,Pima,126,8.709667973,pima
ZF026-054B,2014,pre-1965,2014ZF-026,shield,mesic-subxeric,5,Pima,126,13.61541831,pima
ZF026-054C,2014,pre-1965,2014ZF-026,shield,xeric,0,Pima,44,7.999661787,pima
ZF026-005A,2014,pre-1965,2014ZF-026,shield,xeric,19,Pima,142,12.64913949,pima
ZF026-005B,2014,pre-1965,2014ZF-026,shield,mesic,8,Pima,142,10.98047675,pima
ZF026-005C,2014,pre-1965,2014ZF-026,shield,subhygric,14,Pima,142,9.320729069,pima
ZF026-066A,2014,pre-1965,2014ZF-026,shield,subxeric,0,Pima,99,8.816261228,pima
ZF026-066B,2014,pre-1965,2014ZF-026,shield,mesic-subhygric,0,Pima,154,9.752001702,pima
ZF026-066C,2014,pre-1965,2014ZF-026,shield,xeric,0,Pima,99,6.462088108,other
ZF026-006A,2014,pre-1965,2014ZF-026,shield,subhygric,0,Pima,65,7.614197928,pima
ZF026-006C,2014,pre-1965,2014ZF-026,shield,subxeric,0,Pima,89,8.210309219,pima
ZF026-007A,2014,pre-1965,2014ZF-026,shield,mesic-subxeric,8,Pima,115,10.6092181,pima
ZF026-007B,2014,pre-1965,2014ZF-026,shield,xeric,5,Pima,115,6.945286989,pima
ZF026-007C,2014,pre-1965,2014ZF-026,shield,mesic-subhygric,0,Pima,115,9.032693442,pima
ZF026-096A,2014,pre-1965,2014ZF-026,shield,mesic-subxeric,0,Pima,132,13.13116451,pima
ZF026-096B,2014,pre-1965,2014ZF-026,shield,subhygric,0,Pima,132,9.09745364,pima
ZF026-096C,2014,pre-1965,2014ZF-026,shield,subxeric,14,Pima,132,18.28230216,other
ZF026-098A,2014,pre-1965,2014ZF-026,shield,xeric,0,Pima,171,6.916849715,other
ZF026-098B,2014,pre-1965,2014ZF-026,shield,subhygric,0,Pima,171,9.349765139,pima
ZF026-098C,2014,pre-1965,2014ZF-026,shield,mesic,0,Pima,171,8.615414869,pima
ZF035-011A,2014,pre-1965,2014ZF-035,plains,mesic-subhygric,0,Pima,189,13.77348014,pima
ZF035-011B,2014,pre-1965,2014ZF-035,plains,xeric,0,Pima,189,8.92925637,pima
ZF035-011C,2014,pre-1965,2014ZF-035,plains,mesic,0,Pima,189,14.34590233,pima
ZF035-024A,2014,pre-1965,2014ZF-035,plains,mesic,0,Pima,125,11.32230628,pima
ZF035-024B,2014,pre-1965,2014ZF-035,plains,subxeric,0,Pima,125,6.495974755,pima
ZF035-024C,2014,pre-1965,2014ZF-035,plains,subhygric,0,Pima,79,9.171297891,pima
ZF035-029A,2014,pre-1965,2014ZF-035,plains,mesic-subhygric,0,Pima,131,10.52955109,pima
ZF035-029B,2014,pre-1965,2014ZF-035,plains,xeric,0,Pima,131,6.468342634,other
ZF035-029C,2014,pre-1965,2014ZF-035,plains,mesic-subxeric,0,Pima,131,11.2205636,pima
ZF035-002A,2014,pre-1965,2014ZF-035,plains,mesic-subxeric,0,Pima,130,17.6161888,other
ZF035-002B,2014,pre-1965,2014ZF-035,plains,subxeric,0,Pima,130,8.938528268,pima
ZF035-002C,2014,pre-1965,2014ZF-035,plains,subhygric,0,Pima,130,8.627032716,pima
ZF035-033A,2014,pre-1965,2014ZF-035,plains,subhygric,0,Pima,123,11.9782686,pima
ZF035-033B,2014,pre-1965,2014ZF-035,plains,xeric,9,Pima,151,10.09233424,other
ZF035-033C,2014,pre-1965,2014ZF-035,plains,mesic-subxeric,0,Pima,151,9.047515755,other
ZF035-037A,2014,pre-1965,2014ZF-035,plains,subxeric,0,Pima,192,9.399661788,other
ZF035-037B,2014,pre-1965,2014ZF-035,plains,mesic-subhygric,5,Pima,220,14.06563029,pima
ZF035-037C,2014,pre-1965,2014ZF-035,plains,xeric,5,Pima,220,8.912656929,pima
ZF035-039A,2014,pre-1965,2014ZF-035,plains,mesic,0,Pima,68,8.865573462,pima
ZF035-039B,2014,pre-1965,2014ZF-035,plains,xeric,0,Pima,87,5.339738335,other
ZF035-039C,2014,pre-1965,2014ZF-035,plains,mesic-subhygric,0,Pima,130,8.813758361,pima
ZF035-040A,2014,pre-1965,2014ZF-035,plains,subxeric,0,Piba,145,6.27,other
ZF035-040B,2014,pre-1965,2014ZF-035,plains,mesic,0,Pima,145,10.98149545,pima
ZF035-040C,2014,pre-1965,2014ZF-035,plains,xeric,0,Piba,145,6.24,piba
ZF035-009A,2014,pre-1965,2014ZF-035,plains,subhygric,0,Pima,130,11.11093487,pima
ZF035-009B,2014,pre-1965,2014ZF-035,plains,subxeric,0,Pima,130,11.10521044,pima
ZF035-009C,2014,pre-1965,2014ZF-035,plains,mesic,0,Pima,130,15.86177779,other
ZF044-016A,2014,pre-1965,2014ZF-044,shield,mesic,3,Pima,198,8.159016418,pima
